ulasan,label
"Baru coba pakai snapchat, kirain aplikasi ini buat edit foto doang, ternyata bisa kirim foto atau video singkat, bisa bikin story, bisa nambah teman, bisa berbagi filter. Filternya juga keren karena bisa mengubah wajah, menambahkan animasi, dan menciptakan efek kreatif dalam sekejap.",5
"dowlond nya capet banget tapi minn ,pas menginstal nya lama banget padahal udah nunggu lama ,sama gak sabar buat foto foto ,malah bikin bete,aku kadih rate 4 ajah karna masih ada kekurangan nya",4
gak bisa di download pas pencet tulisan simpan cuma muter² doang padahal sinyal bagus dan pas mau kirim foto ke teman padahal sudah pencet kirim tapi tetap ga jadii tolong di perbaiki untuk pihak snapchat,4
"apl nya baguss, cuma filter nya banyakin lagi yang buat foto bener, ini kebanyakan filter aib nya😮‍💨, tapi ini bisa ga pakai data apl kalo buat foto atau vd, cara nyimpen nya gampang, tpi plss tambahin lagi filter nya nanti ak ksih bintang ⭐⭐⭐⭐⭐5 janji klo udh di tmbhin mh ya, bagus lah apl nya kalo blh jjur, tingkatkan lagi mantap 🌺😘🙏",4
kualitas video story dan lainya jelek.perbaiki untuk kenyamanan menonton story atau reels di media sosial ini agar tidak kalah saing dengan Instagram tiktok dan YouTube,1
Bagi aku ini filter ya bagus banget dan seruh juga tapi tolong kalo untuk Download ya bisa di cepet tin dikit padahal juga udah pakek WiFi ya itu aja Deket tapi lambat tapi bagi aku bagus dan seru aku doa kan semoga lebih baik lagi dan kalo ada kesalahan di bener kan aku kasih bintang 10,5
"Tolong untuk kualitas foto kurang detail apalagi saat memakai filter, dan untuk perekaman video fps tidak stabil, stabilisasi tidak efektiv!",4
aplikasi ini sangat bagus dan efek nya juga bagus bagus tapi bisa cepetin dikit GK saat di instal nya padahal udh pakek wifi tapi masih lama bgt,5
"efekk nyaa bagusss bangett aku suka tapi sayangnya game nya ga ada lagi😞, padahal kalau ada gamenya jadi punya banyak teman.Min bisa ga game nya diadain lagi",4
aplikasi Snapchat ini sangat bagus bisa mencari teman atau ya nyari informasi gitu pokonya Persis kaya tiktok dan efek nya sangat bagus sampai² tmn² saya pada nanya itu pake efek dmn dan saya Jawab di Snapchat aplikasi ini sangat bagus dan saya kasih bintang 🌟🌟🌟🌟🌟 5 saya dan teman² saya sangat puas dengan aplikasi Snapchat ini terimakasih dan kalo ada perkataan saya yg kurang baik atau GK enk di dengar mohon maaf sekalih lagi mohon maaf ya untuk semuah nya terimakasih aplikasi Snapchat 🙂🙂,5
